ckpt,cohort,n,mean,p10,p50,p90,std
P8A,DOR_REAL_DEV,50,0.3309759759530425,0.01296909237280483,0.18096994608640665,0.904701989889145,0.34727566285552897
P8A,DOR_FAKE_DEV,78,0.9451037217409183,0.8893828988075256,0.9859395027160645,0.9937295615673064,0.11492129620124776
P8A,DOR_REAL_LOCKBOX,100,0.08415419374592599,0.00676747444085775,0.0192564763128757,0.26819252371788027,0.1579968596392888
P8A,NON_DOR_REAL_DEV,80,0.18366062835557387,0.005393156688660319,0.00981500186026095,0.8487838447093966,0.31979056530035715
P8A,NON_DOR_FAKE_DEV,80,0.7820047154556959,0.052416258119046606,0.9942297339439392,0.994626498222351,0.35557973264932774
E2B,DOR_REAL_DEV,50,0.29993975708261134,0.02203087862581014,0.223333865404129,0.8098016142845154,0.2939761257858058
E2B,DOR_FAKE_DEV,78,0.7222263749975425,0.422122186422348,0.7770093083381653,0.9359943985939027,0.2069160326361455
E2B,DOR_REAL_LOCKBOX,100,0.0951347335707396,0.0077416768763214,0.01996659301221365,0.31997450888156886,0.17185954029288245
E2B,NON_DOR_REAL_DEV,80,0.1561982953571714,0.00522397472523144,0.01333147520199415,0.6834422647953033,0.27448385604524805
E2B,NON_DOR_FAKE_DEV,80,0.7551407233055215,0.01079964907839889,0.9891113340854645,0.9955450177192688,0.3863176933506135
P2D,DOR_REAL_DEV,50,0.4707187521457672,0.261679258942604,0.4361089915037155,0.6763478815555574,0.17553570883584244
P2D,DOR_FAKE_DEV,78,0.4915555165364192,0.33035968542099,0.4893652945756912,0.6593295812606812,0.12400316608407054
P2D,DOR_REAL_LOCKBOX,100,0.2855700058862567,0.10037482902407642,0.26616738736629486,0.5276507675647736,0.1660616471051623
P2D,NON_DOR_REAL_DEV,80,0.13586556352674956,0.02170218527317046,0.033840687945485046,0.3962084770202651,0.20133349449744667
P2D,NON_DOR_FAKE_DEV,80,0.64910419867374,0.1995737552642822,0.7445454895496368,0.9752530574798584,0.2991610260554484
T3_SLOT3_step500,DOR_REAL_DEV,50,0.9200247979164123,0.8189130902290345,0.9623868763446808,0.9723759174346924,0.09067948259423839
T3_SLOT3_step500,DOR_FAKE_DEV,78,0.9608591970724937,0.958479130268097,0.9686831533908844,0.9711160302162171,0.03918778910234426
T3_SLOT3_step500,DOR_REAL_LOCKBOX,100,0.6158719296008348,0.2190801054239273,0.6370279788970947,0.9592811226844787,0.27600024705003995
T3_SLOT3_step500,NON_DOR_REAL_DEV,80,0.23235836252570152,0.036710546165704724,0.061846230179071426,0.854210650920868,0.30709843093019973
T3_SLOT3_step500,NON_DOR_FAKE_DEV,80,0.8196228079497814,0.2758114248514176,0.9713749587535858,0.9729062914848328,0.28721871003227906
T3_SLOT3_step1000,DOR_REAL_DEV,50,0.882718677520752,0.6913444399833679,0.9509341716766357,0.9800810098648072,0.12066637916035805
T3_SLOT3_step1000,DOR_FAKE_DEV,78,0.8859864393105874,0.7616040945053101,0.9312456846237183,0.9708568513393402,0.12962093972410282
T3_SLOT3_step1000,DOR_REAL_LOCKBOX,100,0.7956397411227226,0.5527096867561341,0.8217168152332306,0.9731602013111115,0.17423888745906066
T3_SLOT3_step1000,NON_DOR_REAL_DEV,80,0.3033789060311392,0.024303057603538035,0.1327136680483818,0.8969795584678653,0.3333197983117226
T3_SLOT3_step1000,NON_DOR_FAKE_DEV,80,0.8932659149169921,0.6915388166904449,0.9782065153121948,0.9831205904483795,0.18425146160638675
T3_SLOT3_step1500,DOR_REAL_DEV,50,0.9191885221004487,0.7866951406002045,0.9663816094398499,0.989783090353012,0.10176253005892842
T3_SLOT3_step1500,DOR_FAKE_DEV,78,0.9565943433688238,0.9169175148010253,0.9780850112438202,0.98586305975914,0.06644415473365568
T3_SLOT3_step1500,DOR_REAL_LOCKBOX,100,0.7317774401605129,0.43429968357086185,0.7512636482715607,0.9790076971054077,0.222754457059431
T3_SLOT3_step1500,NON_DOR_REAL_DEV,80,0.3944148328155279,0.012305422872304917,0.21342381834983826,0.9794209420681,0.3925607801878238
T3_SLOT3_step1500,NON_DOR_FAKE_DEV,80,0.8951386188156902,0.6720877408981323,0.9889395236968994,0.9912768125534057,0.21368127641562973
T3_SLOT3_step2500,DOR_REAL_DEV,50,0.7113245218992233,0.3926069915294647,0.766105443239212,0.974300080537796,0.22613488940560875
T3_SLOT3_step2500,DOR_FAKE_DEV,78,0.7670887347597343,0.5269859552383422,0.8181116282939911,0.9491651475429534,0.18569089017246138
T3_SLOT3_step2500,DOR_REAL_LOCKBOX,100,0.49524162609130146,0.1352760910987854,0.47541503608226776,0.8903102099895477,0.24620398824636194
T3_SLOT3_step2500,NON_DOR_REAL_DEV,80,0.2181809914880432,0.009978518448770046,0.04843692481517792,0.6913829207420359,0.29980742276647526
T3_SLOT3_step2500,NON_DOR_FAKE_DEV,80,0.8786364016355946,0.6611693561077118,0.9867464900016785,0.991405826807022,0.23840288865282405
