ckpt,cohort,n,mean,p10,p50,p90,std
T3_SLOT3_step3500,DOR_REAL_DEV,50,0.7912834972143173,0.4992382884025574,0.8689168691635132,0.9876293540000916,0.2090447412532457
T3_SLOT3_step3500,DOR_FAKE_DEV,78,0.8858215816510029,0.6779130041599274,0.947801262140274,0.9826424419879913,0.15111712146671852
T3_SLOT3_step3500,DOR_REAL_LOCKBOX,100,0.5984944297745823,0.14521629363298416,0.6419639885425568,0.9637211918830872,0.28545197345510137
T3_SLOT3_step3500,NON_DOR_REAL_DEV,80,0.3104143825941719,0.007572921132668853,0.09638723358511925,0.9685383915901185,0.37109209249934133
T3_SLOT3_step3500,NON_DOR_FAKE_DEV,80,0.8813923886278644,0.5687206387519836,0.9920815527439117,0.99453763961792,0.25172058793705304
T3_SLOT3_step4500,DOR_REAL_DEV,50,0.588417389690876,0.18805406093597415,0.5901802182197571,0.9707484722137452,0.3020110484640559
T3_SLOT3_step4500,DOR_FAKE_DEV,78,0.7154846421610086,0.37150733172893524,0.7486521005630493,0.9508705496788025,0.23131170705461848
T3_SLOT3_step4500,DOR_REAL_LOCKBOX,100,0.43065539746545256,0.044742403924465185,0.39448121190071106,0.8736781239509583,0.3018269548689527
T3_SLOT3_step4500,NON_DOR_REAL_DEV,80,0.2527234579727519,0.005043254792690277,0.04842417500913143,0.9479748368263246,0.35840274978907344
T3_SLOT3_step4500,NON_DOR_FAKE_DEV,80,0.8392672203539405,0.3886354118585587,0.9924242198467255,0.995615428686142,0.2884439379308448
