frame_path,T3_SLOT2_step500,T3_SLOT2_step1000,T3_SLOT2_step1500,T3_SLOT2_step2500,T3_SLOT2_step3500,T3_SLOT2_step4500
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000095_seq1126.png,0.7041642069816589,0.9900033473968506,0.988720715045929,0.9941206574440002,0.9950231313705444,0.9958938360214233
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000097_seq1144.png,0.3629029393196106,0.7151269316673279,0.48236945271492004,0.9469180703163147,0.889329731464386,0.9342949390411377
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000099_seq1142.png,0.5178360939025879,0.9563464522361755,0.8246230483055115,0.9900206327438354,0.981977105140686,0.9899030923843384
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000101_seq1179.png,0.6247684359550476,0.9884538054466248,0.9161615371704102,0.9879496097564697,0.9719834327697754,0.984497606754303
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000103_seq1192.png,0.7281939387321472,0.9919446110725403,0.9665888547897339,0.993034839630127,0.9920708537101746,0.994416356086731
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000105_seq1182.png,0.3760615885257721,0.9869599938392639,0.8448847532272339,0.9905016422271729,0.9829586148262024,0.9882232546806335
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000107_seq1229.png,0.33912765979766846,0.982696533203125,0.6688046455383301,0.984214723110199,0.9449199438095093,0.9754654765129089
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000109_seq1227.png,0.3090303838253021,0.9827332496643066,0.6757214665412903,0.9816437363624573,0.933576762676239,0.9710556268692017
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000111_seq1255.png,0.8333184719085693,0.9926955699920654,0.9895971417427063,0.9942296743392944,0.9946058392524719,0.9958265423774719
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000113_seq1253.png,0.7820255160331726,0.9919496774673462,0.9780925512313843,0.9925064444541931,0.9888741970062256,0.9934272766113281
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000115_seq1272.png,0.4499180316925049,0.988366425037384,0.750023603439331,0.9825921058654785,0.9349952340126038,0.9777141213417053
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000117_seq1284.png,0.7313975095748901,0.9912039041519165,0.947036623954773,0.9916792511940002,0.98915034532547,0.9934898614883423
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000119_seq1306.png,0.4381173849105835,0.9881728291511536,0.8669534921646118,0.9893816709518433,0.9696050882339478,0.9869339466094971
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000121_seq1304.png,0.5229042172431946,0.9910797476768494,0.9415857195854187,0.9923601746559143,0.9875729084014893,0.99272620677948
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000123_seq1332.png,0.2782886326313019,0.8951455950737,0.48345962166786194,0.9462295770645142,0.7460166215896606,0.8782336115837097
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000125_seq1330.png,0.31604355573654175,0.9142197370529175,0.46652650833129883,0.9293790459632874,0.6684560179710388,0.8326325416564941
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000127_seq1383.png,0.8581994771957397,0.9915745854377747,0.9863469004631042,0.9930691719055176,0.9944096207618713,0.9951142072677612
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000129_seq1381.png,0.8745160698890686,0.9915726184844971,0.9833717942237854,0.9926679730415344,0.9940351843833923,0.9952245950698853
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000131_seq1412.png,0.9738381505012512,0.9923620223999023,0.9945959448814392,0.9945630431175232,0.9961899518966675,0.9965454936027527
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000133_seq1431.png,0.9719076752662659,0.992682158946991,0.9941045641899109,0.9943898320198059,0.9959431290626526,0.9963908791542053
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000135_seq1439.png,0.9728237986564636,0.992347240447998,0.9946909546852112,0.9947634935379028,0.9964656829833984,0.9968319535255432
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000137_seq1487.png,0.07415354251861572,0.5834513902664185,0.22595299780368805,0.8989744186401367,0.5282809734344482,0.7468338012695312
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000139_seq1483.png,0.15750667452812195,0.7851020097732544,0.4137919843196869,0.9676649570465088,0.7404059767723083,0.8687395453453064
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000141_seq1510.png,0.7434346079826355,0.9917439818382263,0.9903135299682617,0.9933698177337646,0.9941360950469971,0.9953920841217041
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000143_seq1508.png,0.8270666599273682,0.9918971657752991,0.9837856888771057,0.9932136535644531,0.9935105443000793,0.9950214624404907
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000145_seq1544.png,0.962300717830658,0.991395890712738,0.9923599362373352,0.9938651919364929,0.9951567053794861,0.995755672454834
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000147_seq1542.png,0.9561861753463745,0.9906516075134277,0.9898319244384766,0.9939345717430115,0.9952428936958313,0.9957664012908936
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000149_seq1573.png,0.9748368859291077,0.9925832748413086,0.9946097135543823,0.9948310256004333,0.9964158535003662,0.9967665672302246
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000151_seq1595.png,0.148630753159523,0.4707494378089905,0.2540885806083679,0.7137706875801086,0.5340939164161682,0.6457231044769287
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000153_seq1615.png,0.2043188512325287,0.7588324546813965,0.7977883219718933,0.9442911148071289,0.8606078624725342,0.9048586487770081
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000155_seq1613.png,0.46153050661087036,0.9837169647216797,0.9739965796470642,0.9884236454963684,0.9895870685577393,0.9918994903564453
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000157_seq1635.png,0.40766775608062744,0.927747368812561,0.64378821849823,0.9615440964698792,0.9157510995864868,0.9556334614753723
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000159_seq1623.png,0.09664911776781082,0.6568798422813416,0.7267581224441528,0.9350559115409851,0.8112462759017944,0.8753617405891418
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000161_seq1671.png,0.19158418476581573,0.8539001941680908,0.5765575170516968,0.9697585105895996,0.8534784317016602,0.9080451130867004
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000163_seq1669.png,0.4435639977455139,0.9727790951728821,0.888098955154419,0.9875969290733337,0.975246250629425,0.9846386313438416
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000165_seq1688.png,0.4623048007488251,0.9288057088851929,0.742984414100647,0.9798849821090698,0.9460543394088745,0.9518921971321106
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000167_seq1699.png,0.37013542652130127,0.917224645614624,0.6266751289367676,0.9677573442459106,0.9195095896720886,0.9325783848762512
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000169_seq1723.png,0.8907367587089539,0.9874140024185181,0.9764397144317627,0.9884597063064575,0.9790534377098083,0.9864147305488586
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000171_seq1726.png,0.5351835489273071,0.8425525426864624,0.6498344540596008,0.8419077396392822,0.7277353405952454,0.7628176212310791
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000173_seq1753.png,0.9466512203216553,0.9917995929718018,0.9889284372329712,0.9934583306312561,0.9942219853401184,0.9951743483543396
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000175_seq1751.png,0.9101742506027222,0.9912663102149963,0.975416898727417,0.9925051927566528,0.9917141795158386,0.9939044117927551
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000177_seq1808.png,0.3541933596134186,0.9852205514907837,0.9430356025695801,0.9887613654136658,0.9572494029998779,0.9778053760528564
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000179_seq1805.png,0.26440781354904175,0.920775294303894,0.6756954789161682,0.9814963936805725,0.936354398727417,0.9671729207038879
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000181_seq1840.png,0.6868708729743958,0.9916398525238037,0.9817619323730469,0.9935560822486877,0.9944602251052856,0.9953768253326416
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000183_seq1862.png,0.44467785954475403,0.9638765454292297,0.7135262489318848,0.9670306444168091,0.8989405035972595,0.9269693493843079
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000185_seq1866.png,0.7837649583816528,0.9906594753265381,0.9696372151374817,0.9911551475524902,0.9913021326065063,0.9930433034896851
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000187_seq1910.png,0.7809374928474426,0.986254096031189,0.9537228941917419,0.9872221350669861,0.9788467288017273,0.9877122044563293
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000189_seq1907.png,0.9303917288780212,0.9916610717773438,0.9903035759925842,0.9935778379440308,0.9944604635238647,0.9954630732536316
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000191_seq1940.png,0.3943706750869751,0.985321581363678,0.9372015595436096,0.9891090393066406,0.9756867289543152,0.9874399900436401
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000193_seq1938.png,0.6682208776473999,0.9880712032318115,0.9672176241874695,0.9874957799911499,0.977095365524292,0.9874975681304932
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000195_seq1975.png,0.37310245633125305,0.9715757966041565,0.7533729076385498,0.9848003387451172,0.9632084965705872,0.9729193449020386
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000197_seq1973.png,0.42700275778770447,0.9798403382301331,0.8728699684143066,0.9859794974327087,0.9680473804473877,0.9775848984718323
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000199_seq1992.png,0.4784226715564728,0.9868040680885315,0.9715509414672852,0.9883320927619934,0.9846807718276978,0.9895636439323425
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000201_seq2004.png,0.2580510079860687,0.7907724976539612,0.6704766750335693,0.9615368247032166,0.8612393140792847,0.9322178363800049
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000203_seq2027.png,0.12197300046682358,0.5845693945884705,0.4195578098297119,0.8500463962554932,0.43748363852500916,0.5781815648078918
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000205_seq2046.png,0.8648982048034668,0.9880887866020203,0.9673140048980713,0.9914031624794006,0.9910246133804321,0.9926928281784058
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000207_seq2055.png,0.9318154454231262,0.9905490279197693,0.9850674867630005,0.9925893545150757,0.9941614270210266,0.9948337078094482
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000209_seq2082.png,0.8696238994598389,0.98478102684021,0.9804763793945312,0.9894949793815613,0.9864755272865295,0.988535463809967
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000211_seq2084.png,0.4949266016483307,0.8915974497795105,0.8846484422683716,0.984645664691925,0.9525516629219055,0.9645669460296631
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000213_seq2115.png,0.7756787538528442,0.9913427829742432,0.9909782409667969,0.9938287138938904,0.9951651096343994,0.9959048628807068
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000215_seq2133.png,0.8838478326797485,0.9898269176483154,0.9926490187644958,0.9940902590751648,0.9953742623329163,0.9956678152084351
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000217_seq2151.png,0.9553157091140747,0.9906631708145142,0.9887151122093201,0.9935445785522461,0.9935674071311951,0.9950267672538757
/Users/roeedar/Documents/repos/Effort-AIGI-Detection-DtectVision/DeepfakeBench/training/analysis/stage2_cpu_2026-05-09/_roy_d_frames/Roy_D__frame_000219_seq2142.png,0.9602770805358887,0.991503119468689,0.9932911396026611,0.993823766708374,0.9952290058135986,0.9958989024162292
