ckpt_key,layer,cos_pair,cos_pair_std,cos_within_same,cos_cross_id,delta_pair_vs_within,kliep_projection_mean,kliep_projection_std,score_corr,n_pairs,n_frames_per_side
P8A_step5000,0,0.9996240437729358,0.0006595349679296517,0.9998143372756672,0.9978002013293289,-0.00019029350273136458,,,0.27874299966563604,1825,3
P8A_step5000,4,0.9823863419957234,0.008530873720502307,0.9979106020695664,0.9856538789239485,-0.015524260073843,,,0.27874299966563604,1825,3
P8A_step5000,8,0.9783943353643278,0.009340318543542501,0.9945223474027934,0.968662261595432,-0.01612801203846559,,,0.27874299966563604,1825,3
P8A_step5000,11,0.8667718249943376,0.19271579741555295,0.9491614953069615,0.8682725835428096,-0.0823896703126239,0.005180111785393237,0.01950889955431382,0.27874299966563604,1825,3
SlotAv2_step3500,0,0.9996262412344721,0.000655739948295782,0.999815250425836,0.9978138764741564,-0.00018900919136388694,,,0.36847323867911563,1825,3
SlotAv2_step3500,4,0.9826271420715874,0.008416190070784563,0.9979269160894544,0.9855684563691854,-0.015299774017866974,,,0.36847323867911563,1825,3
SlotAv2_step3500,8,0.9756843639943191,0.011289258378633453,0.994188506992614,0.9643057750732484,-0.018504142998294837,,,0.36847323867911563,1825,3
SlotAv2_step3500,11,0.8672829056254729,0.16610755569719168,0.9446757672035765,0.7201089816056437,-0.07739286157810354,0.01350302405725786,0.026105478388754294,0.36847323867911563,1825,3
T5C_step3500,0,0.999626386781453,0.0006557335916499053,0.9998153879958045,0.9978149588597363,-0.00018900121435150297,,,0.4313949688889943,1825,3
T5C_step3500,4,0.9824329172732412,0.008412855380898619,0.997901481463836,0.9855932549654342,-0.015468564190594725,,,0.4313949688889943,1825,3
T5C_step3500,8,0.9757643688219997,0.011532063836762613,0.9939272468650977,0.962849859717488,-0.01816287804309802,,,0.4313949688889943,1825,3
T5C_step3500,11,0.8653716870115385,0.16359472389082358,0.940141253111123,0.7143263137096479,-0.0747695660995844,0.014772015964996877,0.022989638009049244,0.4313949688889943,1825,3
